,ExpressId,GlobalId,Class,PredefinedType,Name,Level,Type,Pset_SlabCommon.LoadBearing,Pset_SlabCommon.Reference,Pset_WindowCommon.Reference,Pset_CurtainWallCommon.Reference,Pset_WallCommon.IsExternal,Pset_WallCommon.ExtendToStructure,Pset_PlateCommon.Reference,Pset_DoorCommon.ThermalTransmittance,Pset_PlateCommon.ThermalTransmittance,Pset_CurtainWallCommon.IsExternal,Pset_WallCommon.Reference,Pset_SlabCommon.PitchAngle,Pset_QuantityTakeOff.Reference,Pset_ReinforcementBarPitchOfWall.Reference,Pset_MemberCommon.Span,Pset_WindowCommon.ThermalTransmittance,Pset_DoorCommon.IsExternal,Pset_WallCommon.LoadBearing,Pset_DoorCommon.Reference,Pset_MemberCommon.Reference,Pset_WindowCommon.IsExternal,Pset_SlabCommon.IsExternal,Pset_PlateCommon.IsExternal,Pset_ReinforcementBarPitchOfSlab.Reference,Pset_MemberCommon.IsExternal
0,186,2idC0G3ezCdhA9WVjWemc$,IfcWallStandardCase,STANDARD,Muro básico:Partición con capa de yeso:163541,Nivel 1,Muro básico:Partición con capa de yeso,,,,,False,False,,,,,Partición con capa de yeso,,Partición con capa de yeso,Partición con capa de yeso,,,,False,,,,,,,
1,294,2idC0G3ezCdhA9WVjWemcy,IfcWallStandardCase,STANDARD,Muro básico:Partición con capa de yeso:163542,Nivel 1,Muro básico:Partición con capa de yeso,,,,,False,False,,,,,Partición con capa de yeso,,Partición con capa de yeso,Partición con capa de yeso,,,,False,,,,,,,
2,338,2idC0G3ezCdhA9WVjWemcz,IfcWallStandardCase,STANDARD,Muro básico:Partición con capa de yeso:163543,Nivel 1,Muro básico:Partición con capa de yeso,,,,,False,False,,,,,Partición con capa de yeso,,Partición con capa de yeso,Partición con capa de yeso,,,,False,,,,,,,
3,6518,2idC0G3ezCdhA9WVjWe$V2,IfcWindow,Ventana simple:100 x 100 cm,Ventana simple:100 x 100 cm:164008,Nivel 1,Ventana simple:100 x 100 cm,,,100 x 100 cm,,,,,,,,,,100 x 100 cm,,,6.7069,,,,,False,,,,
4,6563,2idC0G3ezCdhA9WVjWe$Pp,IfcWindow,Ventana simple:100 x 100 cm,Ventana simple:100 x 100 cm:164121,Nivel 1,Ventana simple:100 x 100 cm,,,100 x 100 cm,,,,,,,,,,100 x 100 cm,,,6.7069,,,,,False,,,,
5,6595,2idC0G3ezCdhA9WVjWe$PM,IfcWindow,Ventana simple:100 x 100 cm,Ventana simple:100 x 100 cm:164156,Nivel 1,Ventana simple:100 x 100 cm,,,100 x 100 cm,,,,,,,,,,100 x 100 cm,,,6.7069,,,,,False,,,,
6,6627,2idC0G3ezCdhA9WVjWe$O_,IfcWindow,Ventana simple:100 x 100 cm,Ventana simple:100 x 100 cm:164180,Nivel 1,Ventana simple:100 x 100 cm,,,100 x 100 cm,,,,,,,,,,100 x 100 cm,,,6.7069,,,,,False,,,,
7,6659,2idC0G3ezCdhA9WVjWe$O$,IfcWindow,Ventana simple:100 x 100 cm,Ventana simple:100 x 100 cm:164181,Nivel 1,Ventana simple:100 x 100 cm,,,100 x 100 cm,,,,,,,,,,100 x 100 cm,,,6.7069,,,,,False,,,,
8,6691,2idC0G3ezCdhA9WVjWe$OA,IfcWindow,Ventana simple:100 x 100 cm,Ventana simple:100 x 100 cm:164192,Nivel 1,Ventana simple:100 x 100 cm,,,100 x 100 cm,,,,,,,,,,100 x 100 cm,,,6.7069,,,,,False,,,,
9,6723,2idC0G3ezCdhA9WVjWe$OB,IfcWindow,Ventana simple:100 x 100 cm,Ventana simple:100 x 100 cm:164193,Nivel 1,Ventana simple:100 x 100 cm,,,100 x 100 cm,,,,,,,,,,100 x 100 cm,,,6.7069,,,,,False,,,,
